Name,%GC,Exonic Rate,Sequences flagged as poor quality,rRNA rate,Fragment Length Mean,Intronic Rate,Intergenic Rate,Mapping Rate,Quality format,Duplication Rate of Mapped,Mapped,rRNA,Sequence length,Transcripts Detected,5'-3' bias,Mean Per Base Cov.,Genes Detected,sampletype,cell
Young_32,45,0.5151000022888184,0,0.0,0.0,0.3749000132083893,0.10999999940395355,0.3611009120941162,standard,0.23363099992275238,836673,0.0,25-75,0,1.2799999713897705,0,0,Young,32
Young_33,44,0.4577000141143799,0,4.806541255675256E-6,50.0,0.43309998512268066,0.10930000245571136,0.4404941499233246,standard,0.18998099863529205,1008092,11.0,25-75,0,1.0800000429153442,0,0,Young,33
Young_30,50,0.44369998574256897,0,0.0,64.0,0.4440999925136566,0.11219999939203262,0.06888329982757568,standard,0.08558999747037888,89506,0.0,25-75,0,1.7599999904632568,0,0,Young,30
Young_31,46,0.3352000117301941,0,8.956351848610211E-6,52.0,0.5720000267028809,0.09279999881982803,0.39501094818115234,standard,0.099590003490448,661560,15.0,25-75,0,1.159999966621399,0,0,Young,31
Young_36,45,0.34769999980926514,0,0.0,0.0,0.5318999886512756,0.12039999663829803,0.37637922167778015,standard,0.15890100598335266,558473,0.0,25-75,0,1.5199999809265137,0,0,Young,36
Young_37,46,0.3037000000476837,0,9.684933502285276E-6,56.0,0.5888000130653381,0.10750000178813934,0.352594792842865,standard,0.2141290009021759,691724,19.0,25-75,0,2.200000047683716,0,0,Young,37
Young_34,44,0.5385000109672546,0,0.0,25.0,0.3208000063896179,0.14069999754428864,0.5995399951934814,standard,0.02604600042104721,84200,0.0,25-75,0,1.0299999713897705,0,0,Young,34
Young_35,44,0.4973999857902527,0,0.0,52.0,0.40149998664855957,0.10109999775886536,0.8047425150871277,standard,0.10136900097131729,2560030,0.0,25-75,0,1.1299999952316284,0,0,Young,35
Young_52,50,0.41359999775886536,0,5.042813427280635E-6,55.0,0.49459999799728394,0.09179999679327011,0.14438684284687042,standard,0.049417998641729355,143161,5.0,25-75,0,1.3300000429153442,0,0,Young,52
Old_48,45,0.3849000036716461,0,3.547439746398595E-7,49.0,0.49140000343322754,0.12370000034570694,0.3491762578487396,standard,0.33626699447631836,1968610,2.0,25-75,0,1.100000023841858,0,0,Old,48
